AKVAKULTURTILLATELSER PR. 13.04.2020;;;;;;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;
TILL_NR;ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;TILDELINGSTIDSPUNKT;TIDSBEGRENSET;TILL_KOMNR;TILL_KOM;FORMÅL;PRODUKSJONSFORM;ART;TILL_KAP;TILL_ENHET;LOK_NR;LOK_NAVN;LOK_KOMNR;LOK_KOM;LOK_PLASS;VANNMILJØ;LOK_KAP;LOK_ENHET;N_GEOWGS84;Ø_GEOWGS84
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Hestereke;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Sjøkreps;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Porselenskrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Vanlig svømmekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Sjøgressreke;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Rettsnutet svømmekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Gitarpyntekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Strandreke;3,70;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Sandpyntekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Steinkrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Vanlig svømmekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0303;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;AKVAKULTURDYR I TIDLIGE LIVSSTADIER;Dvergsvømmekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
